article,clause,requirement,scope,coverage,record_types,protocol_fields,evidence,gap_notes
Art. 12,12(1),"System must technically allow automatic log generation; logging cannot be optional or manual",all high-risk,covered,pipeline_bundle,bundle_hash,"ProvenanceMiddleware is wired at the LangGraph callback layer so records emit without per-node opt-in; bundle_hash (SHA-256 of canonical JSON) provides evidentiary integrity for the assembled log","Non-bypassability is an integration discipline at the host application — the protocol cannot enforce that an operator did not strip the middleware before running. Treat as a deployment audit obligation."
Art. 12,12(2)(a),"Logs must identify situations that may result in risk (Art. 79(1)) or substantial modification",all high-risk,partial,"agent_step; tool_invocation; pipeline_bundle",status; error; outcome,"Per-step status/error and the bundle-level outcome record malfunctions, failed steps, and aborted runs — the events most relevant to identifying risk situations","Risk *classification* per Art. 79(1) (deciding which recorded events constitute reportable risk) remains application-layer logic; the protocol surfaces the events but does not tag them as risk"
Art. 12,12(2)(b),"Logs must facilitate post-market monitoring (Art. 72) — drift detection across deployments",all high-risk,covered,agent_step,model_id; model_version,"Every agent_step records both model_id and model_version; comparing across bundles enables drift detection","Tool invocations do not carry model_id/version (tools are not models) — handled via tool_name/tool_version instead; consistent with the field-purpose split"
Art. 12,12(2)(c),"Logs must support operational monitoring by deployers (Art. 26(5)) — linkable per-pipeline-run records",all high-risk,covered,"agent_step; tool_invocation; human_intervention; pipeline_bundle",pipeline_id; session_id,"All four record types carry pipeline_id + session_id; pipeline_bundle aggregates them in record order",—
Art. 12,12(3)(a),"Record start and end time of each use",biometric minimum (applied universally),covered,"agent_step; tool_invocation",timestamp_start; timestamp_end,"Both fields ISO-8601 with timezone; pattern-enforced in schema; emitted by step_emitter and tool_emitter at node entry/exit","Conditional rule timestamp_end >= timestamp_start enforced at test layer, not schema layer (listed in Known Issues)"
Art. 12,12(3)(b),"Record the reference database consulted",biometric minimum (applied universally),partial,"agent_step; tool_invocation",reference_data_id,"Field is required-present on both record types (nullable string, minLength 1 when populated); description ties it to RAG corpus version / API endpoint version","Schema does not enforce population when reference data is in fact consulted — substantive coverage depends on deployer instrumentation. Cannot be schema-enforced without out-of-band knowledge of whether the call used external data."
Art. 12,12(3)(c),"Record input data that produced a result",biometric minimum (applied universally),covered,"agent_step; tool_invocation",input_hash,"SHA-256 of canonical-JSON serialisation of the input; lowercase hex, pattern-enforced","Hash is integrity-checkable identity not raw payload — Act text says ""record input data"" which is satisfied by recording a verifiable identifier. Raw-payload retention is a separate (and conflicting with GDPR minimisation) decision."
Art. 12,12(3)(d),"Identify natural persons who verified results (per Art. 14(5))",biometric minimum (applied universally),covered,human_intervention,reviewer_id,"reviewer_id is a required non-empty array of strings on every human_intervention record; min length 1 (≥2 for biometric pipelines per Art. 14(5))","Identity strength (display name vs. signed credential) is application-layer; the schema requires presence and uniqueness but does not bind to an authentication system"
Art. 14,14(1),"System must be designed to allow effective oversight — a human decision point must exist in the pipeline architecture",all high-risk,covered,human_intervention,"(record existence)","Presence of any human_intervention record in a bundle is evidence that a decision point was wired into the pipeline; the HITL context manager is the structural construct that materialises the design obligation","Schema cannot enforce that a given pipeline includes a HITL node — that is a deployer design choice. Absence of HITL records is interpretable as ""no oversight design"" only for pipelines where Art. 14 applies."
Art. 14,14(2),"Oversight must prevent/minimise risks to health, safety, fundamental rights",all high-risk,covered,human_intervention,action_type,"action_type enum (approved/rejected/edited/escalated) makes the risk-acting decision explicit and machine-checkable; rejected and escalated are the risk-prevention paths",—
Art. 14,14(4)(a),"Oversight person must be able to understand capabilities/limitations and detect anomalies",all high-risk,partial,agent_step,model_id; model_version,"model_id + model_version enable the reviewer to look up capability documentation at oversight time","Full satisfaction is a UI/disclosure obligation on the oversight interface — the protocol provides the identifiers but not the human-readable capability summary. Anomaly detection is upstream design, not a logged field."
Art. 14,14(4)(b),"Oversight person must be aware of automation bias risk",all high-risk,out_of_scope,—,—,"UI/UX design concern for the oversight interface, not a property the provenance schema can capture","Addressed in Chapter 4 PoC interface discussion; deliberately not a logged field"
Art. 14,14(4)(c),"Oversight person must be able to correctly interpret the system's output",all high-risk,covered,human_intervention,output_before_hash; justification_hash,"output_before_hash proves the reviewer saw the actual output before deciding; optional justification_hash anchors the reviewer's interpretation rationale to a verifiable artifact","justification_hash is optional by design — required-presence would force every reviewer to produce written rationale, which is heavier than the Act demands"
Art. 14,14(4)(d),"Oversight person must be able to disregard, override, or reverse the output",all high-risk,covered,human_intervention,action_type; output_after_hash,"action_type ∈ {rejected, edited} captures the override decision; output_after_hash captures the post-override state. Together they constitute the before/after evidence that is the HITL record's primary novelty",—
Art. 14,14(4)(e),"Oversight person must be able to intervene or halt via a stop mechanism",all high-risk,covered,human_intervention,action_type; intervention_timestamp,"action_type: escalated represents the halt/escalation path; intervention_timestamp anchors the moment of intervention so chronology against subsequent records proves timeliness","Whether escalation actually halted the downstream pipeline is a host-application enforcement question; the protocol records the intent and timing"
Art. 14,14(5),"For biometric ID systems: no decision taken unless verified by at least two natural persons",biometric only,partial,human_intervention,reviewer_id,"reviewer_id is an array, accommodating multiple reviewers; uniqueItems prevents duplicate sign-off","Schema enforces minItems: 1 universally; the ≥2 constraint for biometric pipelines is not schema-encoded. Would require a deployment-profile schema variant or a pipeline-type discriminator to enforce mechanically."
Art. 50,50(1),"Users must be informed they are interacting with an AI system (at first interaction)",AI systems interacting with persons,covered,pipeline_bundle,disclosure_presented,"Boolean field on pipeline_bundle; true substantiates the obligation, false records the obligation was not met (do-not-count semantics in reporting.obligations._field_present)","Only records whether disclosure happened — not when, where, or in what form. Tying disclosure_presented to evidence of the actual disclosure message is out of scope (artifact-level)."
Art. 50,50(2),"AI-generated content (audio/image/video/text) must be marked machine-readable as artificially generated",content generators,out_of_scope,—,—,"Marker belongs on the output artifact itself, not on the provenance record; output_hash links to the artifact where the marker should reside","Provenance protocol and artifact-level watermarking (C2PA, SynthID) are complementary; chapter 6 references this layered relationship"
Art. 50,50(3),"Deployers of emotion recognition / biometric categorisation systems must inform exposed persons",emotion/biometric categorisation,out_of_scope,—,—,"Upstream design/disclosure requirement directed at exposed third parties, not a property of the agent pipeline's internal record stream",—
Art. 50,50(4),"Deployers generating/manipulating deepfake content must disclose it",deepfake generators,out_of_scope,—,—,"User-facing disclosure obligation; output_hash on tool_invocation links to the deepfake artifact but the disclosure itself is application-layer",—
Art. 50,50(4) exception,"AI-generated text exempted from disclosure if reviewed with editorial responsibility",AI text generators with HITL,covered,human_intervention,action_type; reviewer_role,"action_type: approved combined with reviewer_role anchored to ""editor"" (or equivalent role taxonomy) constitutes the editorial-review evidence that triggers the exemption","reviewer_role is free-form string by design — deployment-specific role taxonomies vary. ""Equivalent to editor"" is a judgement the auditor makes from the recorded role string."
